,,0
3P%,OREB,-0.8800125689960776
OREB,3P%,-0.8800125689960776
REB,3P%,-0.7762298454265144
3P%,REB,-0.7762298454265144
FT%,OREB,-0.7222050773590039
OREB,FT%,-0.7222050773590039
FG%,FT%,-0.7016787225264416
FT%,FG%,-0.7016787225264416
3PA,OREB,-0.6955951001485878
OREB,3PA,-0.6955951001485878
3P%,DREB,-0.6771704982811927
DREB,3P%,-0.6771704982811927
REB,FT%,-0.6765554424604303
FT%,REB,-0.6765554424604303
FG%,3P%,-0.6760049873164956
3P%,FG%,-0.6760049873164956
TOV,RK,-0.6682015741514609
RK,TOV,-0.6682015741514609
REB,3PA,-0.6623447985903778
3PA,REB,-0.6623447985903778
SALARY,RK,-0.6579668415951143
RK,SALARY,-0.6579668415951143
3PM,OREB,-0.6517438276975686
OREB,3PM,-0.6517438276975686
3PA,DD2,-0.6495517877157575
DD2,3PA,-0.6495517877157575
FG%,3PA,-0.6200315451937248
3PA,FG%,-0.6200315451937248
GP,YEAR,-0.6195123228299998
YEAR,GP,-0.6195123228299998
FT%,DREB,-0.6142337118743489
DREB,FT%,-0.6142337118743489
FT%,DD2,-0.610366232220767
DD2,FT%,-0.610366232220767
AGE,RK,-0.6066033397300074
RK,AGE,-0.6066033397300074
RK,AST,-0.605111281098827
AST,RK,-0.605111281098827
DREB,3PA,-0.601775214877813
3PA,DREB,-0.601775214877813
REB,3PM,-0.5930791242079932
3PM,REB,-0.5930791242079932
DD2,3PM,-0.5796936527971869
3PM,DD2,-0.5796936527971869
3P%,DD2,-0.5688711833717799
DD2,3P%,-0.5688711833717799
PTS,L,-0.53641483823633
L,PTS,-0.53641483823633
L,YEAR,-0.5303237624894945
YEAR,L,-0.5303237624894945
FGA,OREB,-0.5286339500002353
OREB,FGA,-0.5286339500002353
RK,FGA,-0.5253213222239038
FGA,RK,-0.5253213222239038
DREB,3PM,-0.5230020842552943
3PM,DREB,-0.5230020842552943
FTM,L,-0.5154555159139882
L,FTM,-0.5154555159139882
RK,FGM,-0.5020693040842443
FGM,RK,-0.5020693040842443
RK,STL,-0.5003854963559277
STL,RK,-0.5003854963559277
RK,FP,-0.498223619787771
FP,RK,-0.498223619787771
L,TOV,-0.4955290836249308
TOV,L,-0.4955290836249308
SALARY,L,-0.49124885178672584
L,SALARY,-0.49124885178672584
RK,PTS,-0.48827005569815013
PTS,RK,-0.48827005569815013
L,FT%,-0.4865619625993131
FT%,L,-0.4865619625993131
FG%,3PM,-0.4794532720445105
3PM,FG%,-0.4794532720445105
FP,L,-0.4778477778563573
L,FP,-0.4778477778563573
L,FGM,-0.4749212530929393
FGM,L,-0.4749212530929393
STL,L,-0.46761095636674227
L,STL,-0.46761095636674227
3PA,RK,-0.4611998810488093
RK,3PA,-0.4611998810488093
FGA,L,-0.45812761751088193
L,FGA,-0.45812761751088193
FG%,FGA,-0.4552931025813988
FGA,FG%,-0.4552931025813988
W,YEAR,-0.4369205303977254
YEAR,W,-0.4369205303977254
3P%,BLK,-0.4195648719323759
BLK,3P%,-0.4195648719323759
GP,3PA,-0.4131228799932219
3PA,GP,-0.4131228799932219
BLK,3PM,-0.4061264550054035
3PM,BLK,-0.4061264550054035
BLK,3PA,-0.40058151121170354
3PA,BLK,-0.40058151121170354
L,+/-,-0.3982883068412898
+/-,L,-0.3982883068412898
FT%,GP,-0.39770812843358966
GP,FT%,-0.39770812843358966
MIN,L,-0.39411096355413433
L,MIN,-0.39411096355413433
OREB,PTS,-0.3898197203223349
PTS,OREB,-0.3898197203223349
3PM,RK,-0.38907413281093145
RK,3PM,-0.38907413281093145
YEAR,DD2,-0.38858886884017135
DD2,YEAR,-0.38858886884017135
GP,SALARY,-0.38694677164826086
SALARY,GP,-0.38694677164826086
OREB,AST,-0.3777994213876713
AST,OREB,-0.3777994213876713
L,3PA,-0.3680017667050446
3PA,L,-0.3680017667050446
AST,L,-0.36078724605372886
L,AST,-0.36078724605372886
GP,FGA,-0.34850044667983016
FGA,GP,-0.34850044667983016
3PM,L,-0.3472058596405368
L,3PM,-0.3472058596405368
L,3P%,-0.3454422109106564
3P%,L,-0.3454422109106564
