SALARY,RK,-0.835955745
RK,SALARY,-0.835955745
AGE,RK,-0.534275038
RK,AGE,-0.534275038
SALARY,+/-,-0.529957781
+/-,SALARY,-0.529957781
FG%,3PA,-0.478214882
3PA,FG%,-0.478214882
FGM,RK,-0.436676843
RK,FGM,-0.436676843
PTS,RK,-0.429181278
RK,PTS,-0.429181278
GP,YEAR,-0.425169997
YEAR,GP,-0.425169997
W,YEAR,-0.419864216
YEAR,W,-0.419864216
+/-,TOV,-0.418270282
TOV,+/-,-0.418270282
RK,FGA,-0.407891192
FGA,RK,-0.407891192
RK,TOV,-0.393019631
TOV,RK,-0.393019631
STL,RK,-0.385103518
RK,STL,-0.385103518
DD2,+/-,-0.32521981
+/-,DD2,-0.32521981
STL,FT%,-0.320974355
FT%,STL,-0.320974355
RK,MIN,-0.317321252
MIN,RK,-0.317321252
RK,DD2,-0.312712007
DD2,RK,-0.312712007
RK,L,-0.309849062
L,RK,-0.309849062
FP,RK,-0.285416268
RK,FP,-0.285416268
YEAR,3PM,-0.275498031
3PM,YEAR,-0.275498031
3PM,FG%,-0.269480098
FG%,3PM,-0.269480098
RK,FTM,-0.269293577
FTM,RK,-0.269293577
RK,FTA,-0.268588624
FTA,RK,-0.268588624
L,+/-,-0.240155498
+/-,L,-0.240155498
YEAR,L,-0.238912185
L,YEAR,-0.238912185
FT%,SALARY,-0.237458129
SALARY,FT%,-0.237458129
GP,RK,-0.231053807
RK,GP,-0.231053807
YEAR,MIN,-0.217256887
MIN,YEAR,-0.217256887
3P%,YEAR,-0.211144658
YEAR,3P%,-0.211144658
3PM,RK,-0.208891692
RK,3PM,-0.208891692
RK,FG%,-0.207470544
FG%,RK,-0.207470544
YEAR,3PA,-0.197671469
3PA,YEAR,-0.197671469
FT%,MIN,-0.197420113
MIN,FT%,-0.197420113
+/-,FTM,-0.188637433
FTM,+/-,-0.188637433
+/-,FGM,-0.180340692
FGM,+/-,-0.180340692
W,SALARY,-0.174973107
SALARY,W,-0.174973107
FGA,+/-,-0.168237695
+/-,FGA,-0.168237695
3P%,RK,-0.167998848
RK,3P%,-0.167998848
PTS,+/-,-0.163796229
+/-,PTS,-0.163796229
3PA,RK,-0.15798325
RK,3PA,-0.15798325
AST,RK,-0.155642356
RK,AST,-0.155642356
FTA,+/-,-0.153010189
+/-,FTA,-0.153010189
YEAR,FGA,-0.14821774
FGA,YEAR,-0.14821774
PTS,YEAR,-0.1440553
YEAR,PTS,-0.1440553
MIN,FG%,-0.142225644
FG%,MIN,-0.142225644
SALARY,PF,-0.140369135
PF,SALARY,-0.140369135
FT%,YEAR,-0.139467031
YEAR,FT%,-0.139467031
RK,PF,-0.138552403
PF,RK,-0.138552403
AGE,OREB,-0.135049478
OREB,AGE,-0.135049478
SALARY,BLK,-0.130765907
BLK,SALARY,-0.130765907
+/-,STL,-0.130571079
STL,+/-,-0.130571079
FGM,YEAR,-0.129636765
YEAR,FGM,-0.129636765
+/-,FG%,-0.124194558
FG%,+/-,-0.124194558
RK,W,-0.117340684
W,RK,-0.117340684
OREB,FT%,-0.097009619
FT%,OREB,-0.097009619
3P%,SALARY,-0.089863231
SALARY,3P%,-0.089863231
YEAR,AGE,-0.085462025
AGE,YEAR,-0.085462025
OREB,SALARY,-0.08459938
SALARY,OREB,-0.08459938
YEAR,FG%,-0.072026272
FG%,YEAR,-0.072026272
SALARY,GP,-0.059700682
GP,SALARY,-0.059700682
STL,YEAR,-0.053138509
YEAR,STL,-0.053138509
FP,+/-,-0.05286199
+/-,FP,-0.05286199
YEAR,DREB,-0.049633404
DREB,YEAR,-0.049633404
YEAR,+/-,-0.04469635
+/-,YEAR,-0.04469635
DREB,RK,-0.043555882
RK,DREB,-0.043555882
FP,YEAR,-0.042739418
YEAR,FP,-0.042739418
AGE,+/-,-0.039824983
+/-,AGE,-0.039824983
OREB,3PM,-0.039609609
3PM,OREB,-0.039609609
FT%,REB,-0.03678743
REB,FT%,-0.03678743
AGE,3PA,-0.028780959
