YEAR,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2015,Wesley Johnson,LAC,28,80,51,29,20.8,6.9,2.6,6.4,40.4,1.3,3.9,33.3,0.4,0.6,65.2,0.5,2.6,3.1,0.6,0.7,1.1,0.7,2.2,16.3,0,0,1.5
2015,Paul Pierce,LAC,38,68,44,24,18.1,6.1,2.1,5.8,36.3,1.1,3.6,31,0.8,1,81.8,0.2,2.6,2.7,1,0.9,0.5,0.3,1.9,12.3,0,0,0.8
2015,Pablo Prigioni,LAC,39,59,37,22,13.9,2.5,0.9,2.5,37.4,0.5,1.6,29.5,0.1,0.1,87.5,0.6,1.3,1.9,2.2,0.8,0.9,0,1.4,10,0,0,-1.1
2015,Luc Mbah a Moute,LAC,29,75,49,26,17,3.1,1.3,2.8,45.4,0.2,0.5,32.5,0.4,0.8,52.6,0.8,1.5,2.3,0.4,0.5,0.6,0.3,1.3,8.5,0,0,2.1
2015,Lance Stephenson,MEM,25,43,27,16,15.8,4.7,1.9,3.9,49.4,0.4,1.1,40.4,0.5,0.7,70,0.4,2.1,2.5,1.4,1.1,0.6,0.1,1.8,10.6,0,0,-0.8
2015,Josh Smith,HOU,30,32,19,13,14.3,5.7,2.2,5.6,38.3,0.6,1.8,31,0.8,1.3,59.5,1,2.9,3.9,1.3,1.3,0.6,1.1,1.9,15.9,0,0,-2.9
2015,Jeff Green,LAC,29,27,17,10,26.3,10.9,4.2,9.9,42.7,0.9,2.9,32.5,1.5,2.4,61.5,0.7,2.7,3.4,1.5,0.9,0.7,0.8,2.3,20.6,0,0,-0.3
2015,Jeff Ayres,LAC,29,17,11,6,6.3,1.8,0.7,1.4,52.2,0,0.1,0,0.4,0.4,100,0.2,1.1,1.3,0.3,0.4,0,0.2,1.1,3.9,0,0,-2.7
2015,Jamal Crawford,LAC,36,79,51,28,26.9,14.2,4.8,11.9,40.4,1.5,4.4,34,3.1,3.4,90.4,0.3,1.6,1.8,2.3,1.4,0.7,0.2,1.5,20.9,0,0,2.1
2015,JJ Redick,LAC,32,75,50,25,28,16.3,5.6,11.7,48,2.7,5.6,47.5,2.4,2.7,88.8,0.1,1.7,1.9,1.4,1,0.6,0.1,1.8,21.5,0,0,6.8
2015,DeAndre Jordan,LAC,27,77,51,26,33.7,12.7,4.6,6.6,70.3,0,0,0,3.5,8,43,3.5,10.3,13.8,1.2,1.4,0.7,2.3,2.7,38.5,49,0,5.7
