YEAR,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2015,Anthony Brown,LAL,23,29,4,25,20.6,4,1.3,4.3,31,0.7,2.4,28.6,0.6,0.7,85,0.3,2.1,2.4,0.7,0.5,0.5,0.2,1.2,9.3,0,0,-1.2
2015,Brandon Bass,LAL,31,66,16,50,20.3,7.2,2.6,4.8,54.9,0,0,0,1.9,2.2,84.5,1.6,2.7,4.3,1.1,0.6,0.5,0.8,1.9,17.4,0,0,-0.3
2015,D'Angelo Russell,LAL,20,80,17,63,28.2,13.2,4.9,12,41,1.6,4.6,35.1,1.8,2.4,73.7,0.6,2.8,3.4,3.3,2.5,1.2,0.2,1.8,23.8,1,0,-6.8
2015,Jordan Clarkson,LAL,24,79,17,62,32.3,15.5,6,13.9,43.3,1.4,4.1,34.7,2.1,2.6,80.4,1.2,2.8,4,2.4,1.7,1.1,0.1,2.1,25.8,1,0,-7.9
2015,Julius Randle,LAL,21,81,17,64,28.2,11.3,4.4,10.3,42.9,0.1,0.4,27.8,2.4,3.3,71.5,2.1,8.1,10.2,1.8,1.8,0.7,0.4,3,27.5,34,1,-8.4
2015,Kobe Bryant,LAL,37,66,13,53,28.2,17.6,6,16.9,35.8,2,7.1,28.5,3.5,4.3,82.6,0.6,3.1,3.7,2.8,2,0.9,0.2,1.7,27.7,2,0,-8.6
2015,Larry Nance Jr.,LAL,23,63,14,49,20.1,5.5,2.5,4.8,52.7,0,0.2,10,0.5,0.7,68.1,1.6,3.3,5,0.7,0.7,0.9,0.4,2,15.5,3,0,-1.5
2015,Lou Williams,LAL,29,67,14,53,28.5,15.3,4.2,10.3,40.8,1.6,4.8,34.4,5.3,6.3,83,0.5,2.1,2.5,2.5,1.6,0.9,0.3,1.6,24.1,0,0,-6
2015,Marcelo Huertas,LAL,33,53,8,45,16.4,4.5,1.8,4.3,42.2,0.3,1.2,26.2,0.5,0.5,93.1,0.3,1.4,1.7,3.4,1.5,0.5,0.1,1.4,12,0,0,0.4
2015,Metta World Peace,LAL,36,35,6,29,16.9,5,1.6,5.1,31.1,0.7,2.4,31,1.1,1.6,70.2,0.5,2,2.5,0.8,0.4,0.6,0.3,1.9,11.6,0,0,-1.9
2015,Nick Young,LAL,31,54,13,41,19.1,7.3,2.3,6.9,33.9,1.4,4.4,32.5,1.2,1.4,82.9,0.3,1.5,1.8,0.6,0.6,0.4,0.1,0.9,11.5,0,0,-3.7
2015,Robert Sacre,LAL,27,25,2,23,12.8,3.5,1.2,3,41.3,0,0,0,1,1.5,65.8,1.3,1.6,2.9,0.6,0.5,0.2,0.4,1.7,9,0,0,-1.3
2015,Roy Hibbert,LAL,29,81,17,64,23.2,5.9,2.2,5.1,44.3,0,0,0,1.4,1.8,80.7,1.6,3.3,4.9,1.2,0.9,0.4,1.4,3.1,17.9,3,0,-8.4
2015,Ryan Kelly,LAL,25,36,3,33,13.1,4.2,1.5,4.1,36.9,0.1,1,13.5,1,1.5,68.5,0.6,2.8,3.4,0.6,0.5,0.4,0.3,1.1,10.5,0,0,0
2015,Tarik Black,LAL,24,39,6,33,12.7,3.4,1.5,2.7,54.8,0,0,0,0.5,1.2,42.2,1.1,2.9,4,0.4,0.6,0.4,0.5,2,10.8,0,0,0.5
2016,Brandon Ingram,LAL,19,79,26,53,28.9,9.4,3.5,8.7,40.2,0.7,2.4,29.4,1.7,2.7,62.1,0.8,3.2,4,2.1,1.5,0.6,0.5,2,19.1,0,0,-4.8
2016,Corey Brewer,LAL,31,24,7,17,14.9,5.4,2.2,5,43.8,0.2,1,20.8,0.8,1,75,0.5,1.7,2.2,1.5,0.8,1,0.3,1.2,13.4,0,0,-2.5
2016,D'Angelo Russell,LAL,21,63,21,42,28.7,15.6,5.6,13.8,40.5,2.1,6.1,35.2,2.3,3,78.2,0.5,3,3.5,4.8,2.8,1.4,0.3,2.1,29.2,2,0,-5.7
2016,David Nwaba,LAL,24,20,5,15,19.9,6,2.4,4.1,58,0.1,0.3,20,1.3,2,64.1,0.9,2.3,3.2,0.7,0.6,0.7,0.4,1.8,13.3,0,0,0.5
2016,Ivica Zubac,LAL,20,38,8,30,16,7.5,3.3,6.3,52.9,0,0.1,0,0.8,1.3,65.3,1.1,3.1,4.2,0.8,0.8,0.4,0.9,1.7,16.6,4,0,-3.5
2016,Jordan Clarkson,LAL,25,82,26,56,29.2,14.7,5.8,13.1,44.5,1.4,4.3,32.9,1.6,2,79.8,0.6,2.4,3,2.6,2,1.1,0.1,1.8,23.7,0,0,-5.1
2016,Jose Calderon,ATL,35,24,6,18,12.2,3.3,1.3,3.2,41.6,0.5,1.4,35.3,0.2,0.2,100,0.3,1.4,1.8,2.1,1.1,0.3,0,0.9,8.5,0,0,-5.5
2016,Julius Randle,LAL,22,74,24,50,28.8,13.2,5.1,10.4,48.8,0.2,0.9,27,2.8,3.8,72.3,2,6.6,8.6,3.6,2.3,0.7,0.5,3.4,30,18,3,-6.1
2016,Larry Nance Jr.,LAL,24,63,21,42,22.9,7.1,3,5.7,52.6,0.2,0.6,27.8,0.9,1.3,73.8,1.9,4,5.9,1.5,0.9,1.3,0.6,2.4,21.3,7,0,-2.1
2016,Lou Williams,HOU,30,58,19,39,24.2,18.6,5.6,12.7,44.4,2.1,5.5,38.5,5.2,5.9,88.4,0.2,2,2.3,3.2,2.1,1.1,0.2,1.2,27.9,0,0,0.5
2016,Luol Deng,LAL,32,56,18,38,26.5,7.6,2.9,7.6,38.7,0.9,2.9,30.9,0.8,1.1,73,1.1,4.1,5.3,1.3,0.8,0.9,0.4,1.1,18.8,5,0,-3.5
2016,Marcelo Huertas,LAL,34,23,5,18,10.3,2.7,1.1,3,36.8,0.2,0.8,21.1,0.4,0.7,52.9,0.1,1,1,2.3,0.8,0.4,0.1,0.7,8.1,0,0,-1.9
2016,Metta World Peace,LAL,37,25,8,17,6.4,2.3,0.8,2.7,27.9,0.4,1.5,23.7,0.4,0.6,62.5,0.2,0.6,0.8,0.4,0.3,0.4,0.1,0.7,5.1,0,0,-2.4
2016,Nick Young,LAL,32,60,19,41,25.9,13.2,4.5,10.6,43,2.8,7,40.4,1.3,1.5,85.6,0.4,1.9,2.3,1,0.6,0.6,0.2,2.3,19.3,0,0,-3.5
2016,Tarik Black,LAL,25,67,24,43,16.3,5.7,2.2,4.4,51,0,0,50,1.2,1.6,75.2,2.1,3,5.1,0.6,0.9,0.4,0.7,2.6,15.1,2,0,-0.7
2016,Thomas Robinson,LAL,26,48,15,33,11.7,5,2.2,4.1,53.6,0,0,0,0.6,1.4,47,1.8,2.9,4.6,0.6,1,0.5,0.2,1.6,12.8,1,0,-1.7
2016,Timofey Mozgov,LAL,30,54,16,38,20.4,7.4,3.1,6.1,51.5,0,0,0,1.2,1.4,80.8,1.9,3,4.9,0.8,1.3,0.3,0.6,2.5,15.8,1,0,-3.6
2016,Tyler Ennis,LAL,22,22,6,16,17.8,7.7,3,6.5,45.1,1,2.5,38.9,0.9,1,86.4,0.2,1,1.2,2.4,1,0.9,0.1,1.3,14.6,0,0,2.4
2017,Julius Randle,LAL,23,82,35,47,26.7,16.1,6.1,11,55.8,0.1,0.5,22.2,3.7,5.2,71.8,2.2,5.8,8,2.6,2.6,0.5,0.5,3.3,30.2,28,1,-1
2017,Kyle Kuzma,LAL,22,77,34,43,31.2,16.1,6.1,13.5,45,2.1,5.6,36.6,1.9,2.7,70.7,1.1,5.1,6.3,1.8,1.8,0.6,0.4,2.1,27.8,17,0,-1.6
2017,Brandon Ingram,LAL,20,59,27,32,33.5,16.1,6.1,12.9,47,0.7,1.8,39,3.3,4.8,68.1,1,4.4,5.3,3.9,2.5,0.8,0.7,2.8,30.3,6,0,-2.2
2017,Isaiah Thomas,LAL,29,17,8,9,26.8,15.6,5.1,13.4,38.3,1.9,5.9,32.7,3.4,3.7,92.1,0.6,1.5,2.1,5,3.2,0.4,0.1,1.9,23.7,0,0,0.9
2017,Jordan Clarkson,CLE,26,53,22,31,23.7,14.5,5.6,12.6,44.8,1.3,4,32.4,2,2.5,79.5,0.8,2.2,3,3.3,1.8,0.7,0.1,1.2,23.6,1,0,-0.4
2017,Kentavious Caldwell-Pope,LAL,25,74,31,43,33.2,13.4,4.6,10.8,42.6,2.1,5.6,38.3,2.1,2.6,78.9,0.8,4.4,5.2,2.2,1.3,1.4,0.2,2,26.6,4,0,-0.7
2017,Brook Lopez,LAL,30,74,34,40,23.4,13,5,10.7,46.5,1.5,4.4,34.5,1.5,2.1,70.3,1,3,4,1.7,1.3,0.4,1.3,2.6,24.2,4,0,-1.1
