,,0
RK,SALARY,-0.86578841
SALARY,RK,-0.86578841
DREB,RK,-0.74253199
RK,DREB,-0.74253199
FP,RK,-0.727018171
RK,FP,-0.727018171
TOV,RK,-0.685932075
RK,TOV,-0.685932075
AST,RK,-0.684301885
RK,AST,-0.684301885
RK,MIN,-0.674641066
MIN,RK,-0.674641066
REB,RK,-0.665635151
RK,REB,-0.665635151
FTM,RK,-0.611538984
RK,FTM,-0.611538984
PTS,RK,-0.609862879
RK,PTS,-0.609862879
FTA,RK,-0.597074457
RK,FTA,-0.597074457
RK,FGA,-0.587855018
FGA,RK,-0.587855018
FGM,RK,-0.569025105
RK,FGM,-0.569025105
RK,STL,-0.540599987
STL,RK,-0.540599987
DD2,RK,-0.536578044
RK,DD2,-0.536578044
RK,PF,-0.505687677
PF,RK,-0.505687677
3PA,FG%,-0.489083642
FG%,3PA,-0.489083642
3PM,FG%,-0.477061058
FG%,3PM,-0.477061058
RK,AGE,-0.439856703
AGE,RK,-0.439856703
RK,+/-,-0.417681572
+/-,RK,-0.417681572
BLK,RK,-0.415253902
RK,BLK,-0.415253902
RK,3PA,-0.407066324
3PA,RK,-0.407066324
TD3,RK,-0.37914742
RK,TD3,-0.37914742
FG%,3P%,-0.371637516
3P%,FG%,-0.371637516
RK,3PM,-0.368461923
3PM,RK,-0.368461923
RK,W,-0.300800841
W,RK,-0.300800841
FT%,RK,-0.290802435
RK,FT%,-0.290802435
L,+/-,-0.263771421
+/-,L,-0.263771421
3P%,RK,-0.262982234
RK,3P%,-0.262982234
TD3,YEAR,-0.262741945
YEAR,TD3,-0.262741945
L,YEAR,-0.24572114
YEAR,L,-0.24572114
GP,YEAR,-0.2435682
YEAR,GP,-0.2435682
GP,RK,-0.232194131
RK,GP,-0.232194131
OREB,RK,-0.205174528
RK,OREB,-0.205174528
DD2,YEAR,-0.203996568
YEAR,DD2,-0.203996568
AGE,FG%,-0.161297829
FG%,AGE,-0.161297829
3P%,BLK,-0.150876508
BLK,3P%,-0.150876508
OREB,3PM,-0.14365972
3PM,OREB,-0.14365972
W,YEAR,-0.141708004
YEAR,W,-0.141708004
AGE,OREB,-0.139541401
OREB,AGE,-0.139541401
3PA,OREB,-0.137412723
OREB,3PA,-0.137412723
FG%,SALARY,-0.134980332
SALARY,FG%,-0.134980332
YEAR,AST,-0.132029644
AST,YEAR,-0.132029644
YEAR,STL,-0.120722204
STL,YEAR,-0.120722204
SALARY,L,-0.120406115
L,SALARY,-0.120406115
AGE,YEAR,-0.091176999
YEAR,AGE,-0.091176999
AST,FG%,-0.089668874
FG%,AST,-0.089668874
YEAR,DREB,-0.076860357
DREB,YEAR,-0.076860357
3PA,L,-0.068467192
L,3PA,-0.068467192
L,3PM,-0.068359111
3PM,L,-0.068359111
FGA,FG%,-0.06647689
FG%,FGA,-0.06647689
YEAR,REB,-0.059182445
REB,YEAR,-0.059182445
+/-,3P%,-0.05652358
3P%,+/-,-0.05652358
TD3,FG%,-0.055640059
FG%,TD3,-0.055640059
OREB,3P%,-0.052611494
3P%,OREB,-0.052611494
L,RK,-0.04534841
RK,L,-0.04534841
TD3,L,-0.035989553
L,TD3,-0.035989553
YEAR,RK,-0.035988436
RK,YEAR,-0.035988436
FG%,MIN,-0.030369456
MIN,FG%,-0.030369456
BLK,3PM,-0.02818897
3PM,BLK,-0.02818897
3P%,L,-0.017232168
L,3P%,-0.017232168
FG%,STL,-0.016081665
STL,FG%,-0.016081665
MIN,YEAR,-0.013111478
YEAR,MIN,-0.013111478
YEAR,+/-,-0.004800836
