,,0
RK,SALARY,-0.840247633
SALARY,RK,-0.840247633
RK,FGA,-0.782773747
FGA,RK,-0.782773747
RK,PTS,-0.778377606
PTS,RK,-0.778377606
RK,FGM,-0.766007301
FGM,RK,-0.766007301
FP,RK,-0.753670332
RK,FP,-0.753670332
FTM,RK,-0.744261582
RK,FTM,-0.744261582
RK,FTA,-0.733520416
FTA,RK,-0.733520416
MIN,RK,-0.728483295
RK,MIN,-0.728483295
RK,DREB,-0.72595556
DREB,RK,-0.72595556
RK,3PM,-0.704743385
3PM,RK,-0.704743385
RK,3PA,-0.702988138
3PA,RK,-0.702988138
RK,REB,-0.695315901
REB,RK,-0.695315901
TOV,RK,-0.691664007
RK,TOV,-0.691664007
RK,STL,-0.651505028
STL,RK,-0.651505028
AST,RK,-0.587661116
RK,AST,-0.587661116
RK,DD2,-0.516041062
DD2,RK,-0.516041062
L,+/-,-0.468660086
+/-,L,-0.468660086
RK,BLK,-0.459058869
BLK,RK,-0.459058869
AGE,FG%,-0.419367545
FG%,AGE,-0.419367545
+/-,RK,-0.404218827
RK,+/-,-0.404218827
RK,PF,-0.376568223
PF,RK,-0.376568223
3P%,RK,-0.37208899
RK,3P%,-0.37208899
RK,TD3,-0.3330505
TD3,RK,-0.3330505
YEAR,RK,-0.29117492
RK,YEAR,-0.29117492
FT%,RK,-0.285617747
RK,FT%,-0.285617747
RK,GP,-0.2769028
GP,RK,-0.2769028
RK,OREB,-0.257160639
OREB,RK,-0.257160639
FT%,FG%,-0.25587782
FG%,FT%,-0.25587782
RK,FG%,-0.243876514
FG%,RK,-0.243876514
AGE,OREB,-0.220637542
OREB,AGE,-0.220637542
W,RK,-0.209693117
RK,W,-0.209693117
L,RK,-0.184764155
RK,L,-0.184764155
AGE,YEAR,-0.177504361
YEAR,AGE,-0.177504361
YEAR,GP,-0.152547395
GP,YEAR,-0.152547395
AGE,GP,-0.148946552
GP,AGE,-0.148946552
L,YEAR,-0.147711909
YEAR,L,-0.147711909
L,FG%,-0.141454098
FG%,L,-0.141454098
AGE,W,-0.14133221
W,AGE,-0.14133221
AGE,BLK,-0.128737353
BLK,AGE,-0.128737353
YEAR,W,-0.07417428
W,YEAR,-0.07417428
AGE,MIN,-0.07149831
MIN,AGE,-0.07149831
L,AGE,-0.067687813
AGE,L,-0.067687813
TD3,L,-0.062651514
L,TD3,-0.062651514
TD3,FT%,-0.058611741
FT%,TD3,-0.058611741
AGE,FGM,-0.03470432
FGM,AGE,-0.03470432
FTA,AGE,-0.023728434
AGE,FTA,-0.023728434
YEAR,BLK,-0.018221193
BLK,YEAR,-0.018221193
FT%,YEAR,-0.014474164
YEAR,FT%,-0.014474164
RK,AGE,-0.006302049
AGE,RK,-0.006302049
AGE,PTS,-0.006097778
PTS,AGE,-0.006097778
FT%,W,-0.005690412
W,FT%,-0.005690412
FTM,AGE,-0.004282904
AGE,FTM,-0.004282904
DD2,L,0.003755544
L,DD2,0.003755544
L,SALARY,0.008999332
SALARY,L,0.008999332
PF,TD3,0.009472528
TD3,PF,0.009472528
AGE,FGA,0.015218075
FGA,AGE,0.015218075
W,L,0.018685751
L,W,0.018685751
REB,AGE,0.034139092
AGE,REB,0.034139092
GP,FT%,0.039697489
FT%,GP,0.039697489
AGE,FP,0.043465464
FP,AGE,0.043465464
BLK,L,0.050022784
L,BLK,0.050022784
TOV,AGE,0.059530084
AGE,TOV,0.059530084
AGE,PF,0.063721581
PF,AGE,0.063721581
TD3,3P%,0.064733299
3P%,TD3,0.064733299
AST,L,0.065662698
L,AST,0.065662698
FT%,L,0.066198821
L,FT%,0.066198821
OREB,FT%,0.071992034
FT%,OREB,0.071992034
FG%,3PA,0.075179966
3PA,FG%,0.075179966
3P%,AGE,0.075364654
AGE,3P%,0.075364654
AGE,DREB,0.078933493
DREB,AGE,0.078933493
+/-,GP,0.085511871
GP,+/-,0.085511871
FT%,DD2,0.087321892
DD2,FT%,0.087321892
TD3,GP,0.102871039
GP,TD3,0.102871039
W,STL,0.103388203
STL,W,0.103388203
+/-,AGE,0.105880271
AGE,+/-,0.105880271
YEAR,OREB,0.111664021
OREB,YEAR,0.111664021
FT%,PF,0.113160348
PF,FT%,0.113160348
PF,YEAR,0.120937781
YEAR,PF,0.120937781
3PA,W,0.123122616
W,3PA,0.123122616
L,3P%,0.124856628
3P%,L,0.124856628
L,3PM,0.133122705
3PM,L,0.133122705
SALARY,GP,0.139693693
GP,SALARY,0.139693693
OREB,+/-,0.144467068
+/-,OREB,0.144467068
FG%,3PM,0.149829429
3PM,FG%,0.149829429
L,DREB,0.157981501
DREB,L,0.157981501
STL,L,0.158215552
L,STL,0.158215552
AGE,AST,0.161964742
AST,AGE,0.161964742
AGE,STL,0.162645558
STL,AGE,0.162645558
AGE,DD2,0.163329162
DD2,AGE,0.163329162
W,3PM,0.163344102
3PM,W,0.163344102
SALARY,AGE,0.164092182
AGE,SALARY,0.164092182
FTM,L,0.164788131
L,FTM,0.164788131
AST,FT%,0.164851599
FT%,AST,0.164851599
L,FP,0.166134965
FP,L,0.166134965
GP,STL,0.181023003
STL,GP,0.181023003
DD2,PF,0.181485546
PF,DD2,0.181485546
SALARY,W,0.181605487
W,SALARY,0.181605487
REB,L,0.185437248
L,REB,0.185437248
TOV,L,0.185444127
L,TOV,0.185444127
FT%,BLK,0.18576328
