YEAR,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2015,Willie Cauley-Stein,SAC,22,66,26,40,21.4,7,2.9,5.1,56.3,0,0,0,1.2,1.9,64.8,2,3.3,5.3,0.6,0.7,0.7,1,2.2,18.7,3,0,-1.2
2015,Seth Curry,SAC,25,44,17,27,15.7,6.8,2.3,5.1,45.5,1.1,2.5,45,1,1.2,83.3,0.2,1.2,1.4,1.5,0.8,0.5,0.1,0.9,11.6,1,0,-0.8
2015,Rudy Gay,SAC,29,70,29,41,34,17.2,6.7,14.4,46.3,1.1,3.1,34.4,2.8,3.6,78,1.5,5,6.5,1.7,2,1.4,0.7,2.6,32.1,7,0,-1.2
2015,Rajon Rondo,SAC,30,72,29,43,35.2,11.9,4.9,10.9,45.4,0.9,2.4,36.5,1.2,2.1,58,1.1,5,6,11.7,3.9,2,0.1,2.4,39.1,37,6,-2.1
2015,Quincy Acy,SAC,25,59,21,38,14.8,5.2,2,3.6,55.6,0.3,0.8,38.8,0.8,1.2,73.5,1.1,2.1,3.2,0.5,0.5,0.5,0.4,1.7,12,0,0,-2.1
2015,Omri Casspi,SAC,28,69,27,42,27.3,11.8,4.3,9,48.1,1.6,4,40.9,1.5,2.3,64.8,0.8,5.1,5.9,1.4,1.4,0.8,0.2,2.2,22.8,6,0,0.1
2015,Marco Belinelli,SAC,30,68,27,41,24.6,10.2,3.6,9.3,38.6,1.3,4.4,30.6,1.7,2,83.3,0.1,1.6,1.7,1.9,1.2,0.5,0,1.3,15.6,0,0,-2.7
2015,Kosta Koufos,SAC,27,78,32,46,19,6.8,3,5.7,53.2,0,0,0,0.7,1.3,54.8,2.2,3.3,5.4,0.4,0.6,0.5,0.9,2.4,17.5,5,0,-2.9
2015,James Anderson,SAC,27,51,19,32,14.1,3.5,1.3,3.5,37.6,0.5,1.7,26.7,0.4,0.6,75.9,0.3,1.4,1.7,0.8,0.8,0.4,0.3,1.1,8,0,0,-1.6
2015,Eric Moreland,SAC,24,8,1,7,5.9,1,0.4,0.8,50,0,0,0,0.3,0.5,50,0.4,1,1.4,0.1,0.4,0,0.5,0.5,4,0,0,0.9
2015,Duje Dukan,SAC,24,1,0,1,24.2,6,2,10,20,2,5,40,0,0,0,2,2,4,1,0,1,0,2,15.3,0,0,-8
2015,DeMarcus Cousins,SAC,25,65,29,36,34.6,26.9,9.2,20.5,45.1,1.1,3.2,33.3,7.3,10.2,71.8,2.4,9.1,11.5,3.3,3.8,1.6,1.4,3.6,50.7,47,1,0.6
2015,Darren Collison,SAC,28,74,29,45,30,14,5.1,10.5,48.6,1.2,2.9,40.1,2.6,3.1,85.8,0.4,1.9,2.3,4.3,1.8,1,0.1,1.9,24.7,4,0,-0.9
2015,Caron Butler,SAC,36,17,2,15,10.3,3.7,1.5,3.5,42.4,0.2,1.1,16.7,0.6,0.7,83.3,0.3,1,1.3,0.6,0.2,0.5,0.1,1.1,7.7,0,0,-2.4
2015,Ben McLemore,SAC,23,68,28,40,21.2,7.8,2.9,6.7,42.9,1,2.7,36.2,1.1,1.5,71.8,0.5,1.7,2.2,1.2,1.5,0.8,0.1,2.1,13.4,0,0,0.3
2016,Anthony Tolliver,SAC,32,65,26,39,22.7,7.1,2.4,5.4,44.2,1.4,3.5,39.1,0.9,1.3,74.4,0.8,2.9,3.6,1.2,0.9,0.5,0.3,1.7,14.9,1,0,-1.5
2016,Arron Afflalo,SAC,31,61,23,38,25.9,8.4,3,6.9,44,1,2.5,41.1,1.4,1.5,89.2,0.1,1.9,2,1.3,0.7,0.3,0.1,1.7,13.5,0,0,-4
2016,Ben McLemore,SAC,24,61,27,34,19.3,8.1,3,6.9,43,1.1,2.8,38.2,1.1,1.5,75.3,0.3,1.8,2.1,0.8,1,0.5,0.1,1.8,12.6,1,0,-2.2
2016,Buddy Hield,SAC,24,25,8,17,29.1,15.1,5.7,11.8,48,2.4,5.5,42.8,1.4,1.7,81.4,0.6,3.5,4.1,1.8,2.1,0.8,0.1,1.4,23.2,0,0,-2.5
2016,Darren Collison,SAC,29,68,26,42,30.3,13.2,5,10.5,47.6,1.1,2.6,41.7,2.2,2.5,86,0.3,1.9,2.2,4.6,1.7,1,0.1,1.8,24.5,4,0,-1.9
2016,DeMarcus Cousins,NOP,26,55,23,32,34.4,27.8,9.2,20.3,45.2,1.7,4.9,35.6,7.7,10,77,2.1,8.5,10.6,4.8,3.8,1.4,1.3,3.7,52.1,34,2,-0.5
2016,Garrett Temple,SAC,31,65,25,40,26.6,7.8,2.8,6.6,42.4,1.3,3.4,37.3,0.9,1.1,78.4,0.5,2.3,2.8,2.6,1.2,1.3,0.4,2.2,19,0,0,-2.7
2016,Georgios Papagiannis,SAC,19,22,7,15,16.1,5.6,2.5,4.6,54.9,0,0.1,0,0.5,0.6,85.7,1.1,2.8,3.9,0.9,1.1,0.1,0.8,2,13.3,2,0,-1.4
2016,Jordan Farmar,SAC,30,2,1,1,17.7,6,2,6,33.3,2,4.5,44.4,0,0,0,0.5,1,1.5,4.5,1.5,1,0,0.5,16.1,0,0,-0.5
2016,Kosta Koufos,SAC,28,71,27,44,20,6.6,3,5.5,55.1,0,0,0,0.5,0.9,61.3,1.7,4,5.7,0.7,0.9,0.5,0.7,2.4,17.1,4,0,-2.2
2016,Langston Galloway,SAC,25,19,7,12,19.7,6,2.2,5.5,40.4,1,2.1,47.5,0.6,0.6,91.7,0.4,1.5,1.8,1.5,0.9,0.3,0.1,1.1,10.6,0,0,0.7
2016,Malachi Richardson,SAC,21,22,9,13,9,3.6,1.3,3.1,41.2,0.4,1.3,28.6,0.7,0.9,78.9,0.1,0.9,1,0.5,0.4,0.2,0,1,6.1,0,0,-0.8
2016,Matt Barnes,GSW,37,54,22,32,25.3,7.6,2.7,7.1,38.4,1.3,3.9,32.7,0.9,1.2,75.8,1,4.4,5.4,2.8,1.5,0.7,0.3,2.6,19.7,4,0,-1.8
2016,Omri Casspi,MIN,29,22,9,13,18,5.9,2.4,5.3,45.3,0.5,1.3,37.9,0.5,1,57.1,0.9,3.2,4.1,1.2,0.8,0.5,0,1,13.3,0,0,-0.3
2016,Rudy Gay,SAC,30,30,11,19,33.8,18.7,6.7,14.7,45.5,1.4,3.8,37.2,3.9,4.6,85.5,1.2,5.2,6.3,2.8,2.5,1.5,0.9,2.6,35,4,0,2.2
2016,Skal Labissiere,SAC,21,33,9,24,18.5,8.8,3.5,6.6,53.7,0.1,0.2,37.5,1.6,2.2,70.3,1.5,3.4,4.9,0.8,1.1,0.5,0.4,1.9,17.4,2,0,-1.2
2016,Ty Lawson,SAC,29,69,25,44,25.1,9.9,3.4,7.6,45.4,0.5,1.7,28.8,2.5,3.1,79.7,0.6,2,2.6,4.8,1.9,1.1,0.1,1.7,21.9,3,1,-2.3
2016,Tyreke Evans,SAC,27,14,4,10,22.5,11.6,4.2,10.2,41.3,1.5,3.4,43.8,1.7,2.4,70.6,0.5,3.1,3.6,2.4,1.6,0.9,0.4,1.4,21.6,0,0,-5.4
2016,Willie Cauley-Stein,SAC,23,75,29,46,18.9,8.1,3.4,6.4,53,0,0,0,1.3,2,66.9,1.1,3.4,4.5,1.1,0.9,0.7,0.6,2,18.1,8,0,-2.7
2017,Zach Randolph,SAC,36,59,18,41,25.6,14.5,6.1,12.9,47.3,0.9,2.5,34.7,1.4,1.8,78.5,1.6,5.1,6.7,2.2,2,0.7,0.2,2,26.5,8,0,-6
2017,Willie Cauley-Stein,SAC,24,73,23,50,28,12.8,5.3,10.6,50.2,0,0.2,25,2.1,3.4,61.9,1.8,5.2,7,2.4,1.5,1.1,0.9,2.5,29.1,12,0,-4.4
2017,Vince Carter,SAC,41,58,20,38,17.7,5.4,2,4.9,40.3,1,2.8,34.5,0.5,0.6,75.7,0.3,2.2,2.6,1.2,0.6,0.7,0.4,1.7,13.1,0,0,-1.2
2017,Skal Labissiere,SAC,22,60,19,41,20.7,8.7,3.4,7.6,44.8,0.3,0.9,35.3,1.6,2,80.5,1.6,3.2,4.8,1.2,1.2,0.4,0.8,2.2,18.7,3,0,-2
2017,Nigel Hayes,SAC,23,5,3,2,21.1,3.6,1.6,5.6,28.6,0.4,2.4,16.7,0,0.4,0,0.8,3.6,4.4,0.8,0.2,0.4,0.6,1.6,12.9,0,0,-0.6
2017,Malachi Richardson,TOR,22,25,7,18,12.7,3.5,1.2,3.5,33,0.5,1.6,30.8,0.7,0.9,77.3,0.2,1.1,1.3,0.5,0.4,0.4,0,1.1,6.8,0,0,-1.8
2017,Kosta Koufos,SAC,29,71,22,49,19.6,6.7,3.1,5.5,57.1,0,0,0,0.5,1,44.6,2.1,4.5,6.6,1.2,0.7,0.7,0.5,2.1,19.2,6,0,-3.1
2017,Justin Jackson,SAC,23,68,21,47,22.2,6.7,2.7,6.2,44.2,0.8,2.7,30.8,0.4,0.5,72.2,0.4,2.4,2.8,1.1,0.6,0.4,0.2,1.2,12.8,0,0,-3.5
2017,Jack Cooley,SAC,27,7,4,3,12.5,5.7,1.9,3.9,48.1,0,0,0,2,2.7,73.7,2,2.3,4.3,0.9,0.4,0.1,0,1.9,12.1,0,0,-0.6
2017,JaKarr Sampson,SAC,25,22,6,16,15.6,4.7,2,3.7,54.3,0.2,0.5,50,0.5,0.7,62.5,1,2.6,3.5,0.4,0.4,0.4,1,2.2,13.3,0,0,0
2017,Georgios Papagiannis,POR,20,16,3,13,7.4,2.1,1.1,2.6,41.5,0,0,0,0,0,0,0.8,1.5,2.3,0.6,0.5,0.1,0.4,0.8,6.7,0,0,-1.3
2017,George Hill,CLE,32,43,13,30,26.6,10.3,3.6,7.6,46.9,1.3,3,45.3,1.8,2.3,77.8,0.5,2.2,2.7,2.8,1.4,0.9,0.3,1.7,19.8,0,0,-5.7
2017,Garrett Temple,SAC,32,65,23,42,24.8,8.4,3.1,7.3,41.8,1.4,3.5,39.2,0.9,1.2,76.9,0.3,2,2.3,1.9,1.2,0.9,0.4,2.1,16.7,0,0,-4
