YEAR,PLAYER,TEAM,SALARY,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,RK
2015,Stephen Curry,Golden State Warriors,11370786.0,28,79,71,8,34.2,30.1,10.2,20.2,50.4,5.1,11.2,45.4,4.6,5.1,90.8,0.9,4.6,5.4,6.7,3.3,2.1,0.2,2.0,50.3,15,2,12.9,61.0
2015,Shaun Livingston,Golden State Warriors,5543725.0,30,78,69,9,19.5,6.3,2.6,4.9,53.6,0.0,0.2,16.7,1.0,1.2,86.0,0.5,1.6,2.2,3.0,1.0,0.7,0.3,1.8,15.6,0,0,2.7,132.0
2015,Marreese Speights,Golden State Warriors,3815000.0,28,72,64,8,11.6,7.1,2.7,6.3,43.2,0.3,0.9,38.7,1.3,1.6,82.5,1.1,2.3,3.3,0.8,0.9,0.3,0.5,1.6,13.7,1,0,0.2,183.0
2015,Leandro Barbosa,Golden State Warriors,2500000.0,33,68,60,8,15.9,6.4,2.5,5.4,46.2,0.6,1.6,35.5,0.8,0.9,83.9,0.4,1.3,1.7,1.2,0.8,0.6,0.1,1.6,11.8,0,0,0.6,243.0
2015,Klay Thompson,Golden State Warriors,15501000.0,26,80,71,9,33.3,22.1,8.1,17.3,47.0,3.5,8.1,42.5,2.4,2.8,87.3,0.4,3.4,3.8,2.1,1.7,0.8,0.6,1.9,32.2,0,0,10.5,31.0
2015,Kevon Looney,Golden State Warriors,1131960.0,20,5,4,1,4.1,1.8,0.8,1.4,57.1,0.2,0.4,50.0,0.0,0.0,0.0,0.8,1.2,2.0,0.0,0.2,0.0,0.0,0.4,4.0,0,0,-4.4,345.0
2015,Jason Thompson,Toronto Raptors,245177.0,29,28,24,4,6.4,2.1,0.7,1.5,47.6,0.0,0.0,0.0,0.7,1.1,62.5,0.4,1.6,1.9,0.7,0.3,0.1,0.3,1.4,6.5,0,0,-2.1,499.0
2015,James Michael McAdoo,Golden State Warriors,845059.0,23,41,37,4,6.4,2.9,1.1,2.0,53.6,0.0,0.0,50.0,0.6,1.2,53.1,0.7,0.7,1.4,0.4,0.4,0.2,0.2,1.0,6.1,0,0,-2.1,431.0
2015,Ian Clark,Golden State Warriors,947276.0,25,66,59,7,8.8,3.6,1.3,3.1,44.1,0.5,1.3,35.7,0.4,0.5,82.4,0.2,0.8,1.0,1.0,0.7,0.3,0.2,0.9,7.0,0,0,-1.2,414.0
2015,Harrison Barnes,Golden State Warriors,3873398.0,24,66,59,7,30.9,11.7,4.5,9.6,46.6,1.2,3.2,38.3,1.5,2.0,76.1,1.2,3.8,4.9,1.8,0.9,0.6,0.2,2.1,21.8,1,0,6.8,182.0
2015,Festus Ezeli,Golden State Warriors,2008748.0,26,46,42,4,16.7,7.0,2.7,5.0,54.8,0.0,0.0,0.0,1.5,2.9,53.0,2.0,3.6,5.6,0.7,0.8,0.4,1.1,2.0,18.3,6,0,4.8,276.0
2015,Draymond Green,Golden State Warriors,14260870.0,26,81,73,8,34.7,14.0,5.0,10.1,49.0,1.2,3.2,38.8,2.8,4.1,69.6,1.7,7.8,9.5,7.4,3.2,1.5,1.4,3.0,41.8,33,13,13.2,36.0
2015,Brandon Rush,Golden State Warriors,1270964.0,30,72,63,9,14.6,4.2,1.5,3.6,42.7,0.9,2.2,41.4,0.3,0.4,64.3,0.3,2.2,2.5,0.8,0.5,0.3,0.3,0.8,9.8,0,0,-0.4,321.0
2015,Andrew Bogut,Golden State Warriors,13800000.0,31,70,62,8,20.7,5.4,2.5,4.0,62.7,0.0,0.0,100.0,0.3,0.7,48.0,1.7,5.3,7.0,2.3,1.2,0.5,1.6,3.2,22.4,5,0,5.7,40.0
