,,0
RK,SALARY,-0.80296989822473
SALARY,RK,-0.80296989822473
RK,MIN,-0.6594184663360572
MIN,RK,-0.6594184663360572
FP,RK,-0.6456412709153716
RK,FP,-0.6456412709153716
RK,PTS,-0.6244578824723088
PTS,RK,-0.6244578824723088
RK,FGM,-0.6214747125364036
FGM,RK,-0.6214747125364036
RK,FGA,-0.6198452377386918
FGA,RK,-0.6198452377386918
TOV,RK,-0.5844721100910029
RK,TOV,-0.5844721100910029
FTM,RK,-0.5373681073007824
RK,FTM,-0.5373681073007824
FTA,RK,-0.5313366672235321
RK,FTA,-0.5313366672235321
RK,AST,-0.5123468206391187
AST,RK,-0.5123468206391187
RK,DREB,-0.5030811165692394
DREB,RK,-0.5030811165692394
STL,RK,-0.5015522648557665
RK,STL,-0.5015522648557665
RK,3PA,-0.47264510869339327
3PA,RK,-0.47264510869339327
3PM,RK,-0.45111445479855916
RK,3PM,-0.45111445479855916
REB,RK,-0.4354804801260279
RK,REB,-0.4354804801260279
RK,PF,-0.4172923007504839
PF,RK,-0.4172923007504839
+/-,L,-0.40599363037024117
L,+/-,-0.40599363037024117
DD2,RK,-0.3871833600777843
RK,DD2,-0.3871833600777843
GP,RK,-0.3518126748586192
RK,GP,-0.3518126748586192
YEAR,GP,-0.33315718344275835
GP,YEAR,-0.33315718344275835
3PA,FG%,-0.30879196609772674
FG%,3PA,-0.30879196609772674
W,RK,-0.29653076181952565
RK,W,-0.29653076181952565
RK,AGE,-0.27480962722120994
AGE,RK,-0.27480962722120994
3P%,OREB,-0.2723159076385831
OREB,3P%,-0.2723159076385831
YEAR,L,-0.25664408012953654
L,YEAR,-0.25664408012953654
3PA,OREB,-0.25560277571526285
OREB,3PA,-0.25560277571526285
RK,+/-,-0.25244453136639045
+/-,RK,-0.25244453136639045
FG%,3PM,-0.2510903646642925
3PM,FG%,-0.2510903646642925
3PM,OREB,-0.24696223008949125
OREB,3PM,-0.24696223008949125
YEAR,W,-0.24218958925887343
W,YEAR,-0.24218958925887343
RK,TD3,-0.23773149186251757
TD3,RK,-0.23773149186251757
RK,3P%,-0.2229777738020681
3P%,RK,-0.2229777738020681
RK,L,-0.22083258218785376
L,RK,-0.22083258218785376
BLK,RK,-0.2108415298869435
RK,BLK,-0.2108415298869435
FT%,RK,-0.19740165247001393
RK,FT%,-0.19740165247001393
3P%,FG%,-0.18406695033498963
FG%,3P%,-0.18406695033498963
FT%,OREB,-0.16424816395384012
OREB,FT%,-0.16424816395384012
RK,OREB,-0.16187578097777996
OREB,RK,-0.16187578097777996
BLK,3P%,-0.15761312643160696
3P%,BLK,-0.15761312643160696
BLK,3PM,-0.15518579761760196
3PM,BLK,-0.15518579761760196
BLK,3PA,-0.15500282682960118
3PA,BLK,-0.15500282682960118
AGE,YEAR,-0.14295570530873272
YEAR,AGE,-0.14295570530873272
FG%,RK,-0.09970035982570243
RK,FG%,-0.09970035982570243
DD2,YEAR,-0.09824420746317863
YEAR,DD2,-0.09824420746317863
AGE,OREB,-0.09532801308324211
OREB,AGE,-0.09532801308324211
L,AGE,-0.05966042588864843
AGE,L,-0.05966042588864843
FT%,BLK,-0.05711507438329238
BLK,FT%,-0.05711507438329238
AST,FG%,-0.05639689023909145
FG%,AST,-0.05639689023909145
YEAR,TD3,-0.04460515769743215
TD3,YEAR,-0.04460515769743215
STL,FG%,-0.04343664964978688
FG%,STL,-0.04343664964978688
FG%,YEAR,-0.042101977776460915
YEAR,FG%,-0.042101977776460915
REB,3P%,-0.040202821784316854
3P%,REB,-0.040202821784316854
DD2,FT%,-0.028481903939820058
FT%,DD2,-0.028481903939820058
STL,YEAR,-0.01724123102211313
YEAR,STL,-0.01724123102211313
BLK,AGE,-0.01425236864469172
AGE,BLK,-0.01425236864469172
TD3,FT%,-0.013459054774924099
FT%,TD3,-0.013459054774924099
DD2,3P%,-0.008570879645792957
3P%,DD2,-0.008570879645792957
FTA,YEAR,-0.0063361260179792085
YEAR,FTA,-0.0063361260179792085
TD3,L,-0.006098663960546473
L,TD3,-0.006098663960546473
FGA,FG%,-0.002687456053485293
FG%,FGA,-0.002687456053485293
AGE,DD2,0.0011026242560295654
DD2,AGE,0.0011026242560295654
MIN,YEAR,0.003758422074861674
YEAR,MIN,0.003758422074861674
FT%,FG%,0.004774073347012803
FG%,FT%,0.004774073347012803
YEAR,RK,0.008633310229501584
RK,YEAR,0.008633310229501584
FTM,YEAR,0.009510952931357102
YEAR,FTM,0.009510952931357102
OREB,YEAR,0.009680032111001645
YEAR,OREB,0.009680032111001645
REB,FT%,0.010154612745590721
FT%,REB,0.010154612745590721
AST,OREB,0.010796250875676072
OREB,AST,0.010796250875676072
YEAR,+/-,0.01531803677968946
+/-,YEAR,0.01531803677968946
FTA,AGE,0.016066851066067617
AGE,FTA,0.016066851066067617
FT%,YEAR,0.016445470306231686
YEAR,FT%,0.016445470306231686
REB,AGE,0.018732366423562533
AGE,REB,0.018732366423562533
SALARY,L,0.020845090373751367
L,SALARY,0.020845090373751367
FG%,TD3,0.022707745788263223
TD3,FG%,0.022707745788263223
YEAR,REB,0.025262780260504575
REB,YEAR,0.025262780260504575
YEAR,DREB,0.027795235046572917
DREB,YEAR,0.027795235046572917
AGE,PF,0.03130781236093578
PF,AGE,0.03130781236093578
AGE,FG%,0.031428177462305265
FG%,AGE,0.031428177462305265
YEAR,3P%,0.032433950927987794
3P%,YEAR,0.032433950927987794
3P%,L,0.03541187974968963
L,3P%,0.03541187974968963
BLK,L,0.040697239582370884
L,BLK,0.040697239582370884
YEAR,FGA,0.04325105651018328
FGA,YEAR,0.04325105651018328
YEAR,FP,0.04343421113680757
FP,YEAR,0.04343421113680757
PTS,YEAR,0.04345332140257507
YEAR,PTS,0.04345332140257507
BLK,YEAR,0.047396496398428446
YEAR,BLK,0.047396496398428446
FGM,YEAR,0.04852007290531636
YEAR,FGM,0.04852007290531636
AST,YEAR,0.0498522277632364
YEAR,AST,0.0498522277632364
DREB,3P%,0.051984579800478006
3P%,DREB,0.051984579800478006
FG%,TOV,0.05199710046564154
TOV,FG%,0.05199710046564154
AGE,FGM,0.0526470387495144
FGM,AGE,0.0526470387495144
AGE,FTM,0.0563766851594543
FTM,AGE,0.0563766851594543
L,3PM,0.05675518302736815
3PM,L,0.05675518302736815
YEAR,3PM,0.05716583113875728
3PM,YEAR,0.05716583113875728
YEAR,TOV,0.05745058784865983
