,,0
SALARY,RK,-0.7828769292028487
RK,SALARY,-0.7828769292028487
+/-,L,-0.6916793537930686
L,+/-,-0.6916793537930686
L,YEAR,-0.683971114441106
YEAR,L,-0.683971114441106
FGA,RK,-0.5621634658051058
RK,FGA,-0.5621634658051058
RK,PTS,-0.5369620538243656
PTS,RK,-0.5369620538243656
RK,FGM,-0.5229358614893856
FGM,RK,-0.5229358614893856
RK,MIN,-0.5084698338277162
MIN,RK,-0.5084698338277162
RK,TOV,-0.49777828245720185
TOV,RK,-0.49777828245720185
RK,FP,-0.4941320549834614
FP,RK,-0.4941320549834614
+/-,GP,-0.469159469012487
GP,+/-,-0.469159469012487
FTM,RK,-0.4604158249812319
RK,FTM,-0.4604158249812319
FTA,RK,-0.4511720676351646
RK,FTA,-0.4511720676351646
RK,GP,-0.4477552543253509
GP,RK,-0.4477552543253509
AST,RK,-0.42065412540872926
RK,AST,-0.42065412540872926
3PA,RK,-0.4146729117461326
RK,3PA,-0.4146729117461326
RK,W,-0.40838820464011505
W,RK,-0.40838820464011505
3PM,OREB,-0.38717321983221314
OREB,3PM,-0.38717321983221314
OREB,3PA,-0.3783956921156636
3PA,OREB,-0.3783956921156636
3PM,RK,-0.3644814988023565
RK,3PM,-0.3644814988023565
RK,STL,-0.3566715861750093
STL,RK,-0.3566715861750093
YEAR,GP,-0.3340903944730588
GP,YEAR,-0.3340903944730588
RK,L,-0.3282937008020634
L,RK,-0.3282937008020634
RK,TD3,-0.2967575064456618
TD3,RK,-0.2967575064456618
RK,DREB,-0.28111794081450975
DREB,RK,-0.28111794081450975
3PA,FG%,-0.27716222382884365
FG%,3PA,-0.27716222382884365
DD2,RK,-0.26407240863585907
RK,DD2,-0.26407240863585907
PF,RK,-0.2479580638520358
RK,PF,-0.2479580638520358
AGE,RK,-0.23497980741016325
RK,AGE,-0.23497980741016325
RK,REB,-0.22560444242593075
REB,RK,-0.22560444242593075
3PM,FG%,-0.21408341685091095
FG%,3PM,-0.21408341685091095
L,AGE,-0.21150801011754108
AGE,L,-0.21150801011754108
AGE,GP,-0.20445681792580156
GP,AGE,-0.20445681792580156
3P%,OREB,-0.18579267834284774
OREB,3P%,-0.18579267834284774
RK,3P%,-0.1756149245184974
3P%,RK,-0.1756149245184974
3PA,BLK,-0.16672470561811076
BLK,3PA,-0.16672470561811076
OREB,AGE,-0.14208491842357202
AGE,OREB,-0.14208491842357202
3PM,BLK,-0.1347342239402293
BLK,3PM,-0.1347342239402293
AGE,REB,-0.12642849707021758
REB,AGE,-0.12642849707021758
OREB,FT%,-0.11788525350586
FT%,OREB,-0.11788525350586
FT%,YEAR,-0.11756906753682073
YEAR,FT%,-0.11756906753682073
AGE,PF,-0.11405764001388881
PF,AGE,-0.11405764001388881
DREB,AGE,-0.11045768396051026
AGE,DREB,-0.11045768396051026
FT%,STL,-0.10716902392397125
STL,FT%,-0.10716902392397125
RK,FG%,-0.08646099706666484
FG%,RK,-0.08646099706666484
FT%,TD3,-0.0829296631112591
TD3,FT%,-0.0829296631112591
AGE,W,-0.08193161289855629
W,AGE,-0.08193161289855629
FT%,DD2,-0.08087631700280981
DD2,FT%,-0.08087631700280981
3P%,L,-0.07280705638360034
L,3P%,-0.07280705638360034
RK,BLK,-0.06402544087479804
BLK,RK,-0.06402544087479804
AGE,MIN,-0.05777921514713966
MIN,AGE,-0.05777921514713966
YEAR,FTM,-0.05761163236706588
FTM,YEAR,-0.05761163236706588
REB,FT%,-0.055745932864372155
FT%,REB,-0.055745932864372155
YEAR,OREB,-0.051307910992236014
OREB,YEAR,-0.051307910992236014
FT%,RK,-0.047788017189586966
RK,FT%,-0.047788017189586966
RK,OREB,-0.0437059237494314
OREB,RK,-0.0437059237494314
3PM,REB,-0.04367322909550817
REB,3PM,-0.04367322909550817
FG%,AST,-0.039855299418216764
AST,FG%,-0.039855299418216764
FTA,YEAR,-0.03885426858270535
YEAR,FTA,-0.03885426858270535
AGE,DD2,-0.03576681094297013
DD2,AGE,-0.03576681094297013
L,TD3,-0.03554576484227083
TD3,L,-0.03554576484227083
PF,+/-,-0.03354178620382883
+/-,PF,-0.03354178620382883
YEAR,PF,-0.030915267751657247
PF,YEAR,-0.030915267751657247
AGE,STL,-0.027452003152771354
STL,AGE,-0.027452003152771354
FT%,DREB,-0.027203659143071986
DREB,FT%,-0.027203659143071986
TOV,AGE,-0.025367577024035654
AGE,TOV,-0.025367577024035654
AGE,FTA,-0.024408631570851994
FTA,AGE,-0.024408631570851994
REB,3PA,-0.021614583040413807
3PA,REB,-0.021614583040413807
L,BLK,-0.01673388118341423
BLK,L,-0.01673388118341423
STL,FG%,-0.014612210648304482
FG%,STL,-0.014612210648304482
YEAR,MIN,-0.009135802411690793
MIN,YEAR,-0.009135802411690793
+/-,TOV,-0.008692460485141258
TOV,+/-,-0.008692460485141258
AST,FT%,-0.00736780527289653
FT%,AST,-0.00736780527289653
FT%,SALARY,-0.0030190666580337117
SALARY,FT%,-0.0030190666580337117
3PA,PF,-0.001301401849868863
PF,3PA,-0.001301401849868863
AGE,FGM,0.0011754810395712327
FGM,AGE,0.0011754810395712327
FGA,+/-,0.0019635161701293605
+/-,FGA,0.0019635161701293605
AGE,FGA,0.0021234959691388364
FGA,AGE,0.0021234959691388364
FTM,AGE,0.005413209473815885
AGE,FTM,0.005413209473815885
MIN,+/-,0.009525546111525346
+/-,MIN,0.009525546111525346
BLK,FT%,0.010105785564727139
FT%,BLK,0.010105785564727139
PF,3PM,0.010161241863261073
3PM,PF,0.010161241863261073
FP,AGE,0.011621345769004294
AGE,FP,0.011621345769004294
DD2,+/-,0.012797592016746571
+/-,DD2,0.012797592016746571
AST,OREB,0.013161963139808287
OREB,AST,0.013161963139808287
L,AST,0.013308491550669776
AST,L,0.013308491550669776
YEAR,RK,0.014873535931287091
RK,YEAR,0.014873535931287091
BLK,AST,0.015655065714611154
AST,BLK,0.015655065714611154
+/-,FTM,0.023768026129947738
FTM,+/-,0.023768026129947738
PTS,AGE,0.025225442683699792
AGE,PTS,0.025225442683699792
3P%,BLK,0.025956595575873834
BLK,3P%,0.025956595575873834
FTA,+/-,0.02598047897591318
+/-,FTA,0.02598047897591318
3P%,FG%,0.02794649097826196
FG%,3P%,0.02794649097826196
OREB,+/-,0.031239983712826134
+/-,OREB,0.031239983712826134
BLK,TD3,0.03745648974199632
TD3,BLK,0.03745648974199632
YEAR,FGA,0.03830266151629238
FGA,YEAR,0.03830266151629238
BLK,AGE,0.04036525044348584
AGE,BLK,0.04036525044348584
SALARY,OREB,0.041041736335808016
OREB,SALARY,0.041041736335808016
REB,YEAR,0.04109663955762827
YEAR,REB,0.04109663955762827
3P%,REB,0.043233258229966286
REB,3P%,0.043233258229966286
YEAR,AGE,0.04464334032611455
AGE,YEAR,0.04464334032611455
YEAR,STL,0.04719508283535785
STL,YEAR,0.04719508283535785
YEAR,FG%,0.053389694757508245
FG%,YEAR,0.053389694757508245
SALARY,FG%,0.05344802354452726
FG%,SALARY,0.05344802354452726
FG%,L,0.055696533516797195
L,FG%,0.055696533516797195
DD2,3P%,0.06612263420582842
3P%,DD2,0.06612263420582842
+/-,3PA,0.06759278925136127
3PA,+/-,0.06759278925136127
FT%,TOV,0.06788870385241573
TOV,FT%,0.06788870385241573
+/-,SALARY,0.06976490335470707
SALARY,+/-,0.06976490335470707
+/-,REB,0.07112654343713976
REB,+/-,0.07112654343713976
TD3,GP,0.07389308011478452
GP,TD3,0.07389308011478452
DREB,YEAR,0.07508184158873023
YEAR,DREB,0.07508184158873023
3PM,DD2,0.07698950521844233
DD2,3PM,0.07698950521844233
TD3,FG%,0.07772768100832574
FG%,TD3,0.07772768100832574
YEAR,TOV,0.07970716144683124
TOV,YEAR,0.07970716144683124
PTS,YEAR,0.08055556798182134
YEAR,PTS,0.08055556798182134
DREB,+/-,0.08146176631439644
+/-,DREB,0.08146176631439644
FGA,FG%,0.08401321518036362
FG%,FGA,0.08401321518036362
AGE,AST,0.08402130886736278
AST,AGE,0.08402130886736278
DD2,YEAR,0.0845909112766033
YEAR,DD2,0.0845909112766033
SALARY,L,0.08514552018233973
L,SALARY,0.08514552018233973
PTS,+/-,0.08547487083102524
+/-,PTS,0.08547487083102524
3P%,TD3,0.0868598725241717
TD3,3P%,0.0868598725241717
3PA,YEAR,0.08763755621508544
YEAR,3PA,0.08763755621508544
FGM,+/-,0.08847054618854965
+/-,FGM,0.08847054618854965
FT%,W,0.09196745954638007
W,FT%,0.09196745954638007
SALARY,PF,0.09246493730080893
PF,SALARY,0.09246493730080893
FP,FT%,0.09492685801980089
FT%,FP,0.09492685801980089
3PM,L,0.09583737420035544
L,3PM,0.09583737420035544
3PA,DD2,0.096186814219715
DD2,3PA,0.096186814219715
DREB,3PM,0.10166915434546697
3PM,DREB,0.10166915434546697
+/-,STL,0.10325594563748904
STL,+/-,0.10325594563748904
TD3,PF,0.10393435235931239
PF,TD3,0.10393435235931239
YEAR,SALARY,0.10399034931806453
